size,sex,category,fit,w,h
L,남성,상의,보통이에요,78,180
L,남성,상의,보통이에요,52,171
L,남성,상의,커요,75,174
L,남성,상의,보통이에요,70,175
L,남성,상의,보통이에요,66,179
L,남성,상의,보통이에요,71,178
L,남성,상의,커요,65,174
L,남성,상의,작아요,77,178
L,남성,상의,보통이에요,66,179
L,남성,상의,보통이에요,77,178
L,남성,상의,커요,72,172
L,남성,상의,커요,78,178
L,남성,상의,보통이에요,72,172
L,남성,상의,보통이에요,65,183
L,남성,상의,보통이에요,70,180
L,남성,상의,보통이에요,70,180
L,남성,상의,보통이에요,78,178
L,남성,상의,보통이에요,69,174
L,남성,상의,보통이에요,80,175
L,남성,상의,보통이에요,68,169
L,남성,상의,보통이에요,80,175
L,남성,상의,보통이에요,69,174
L,남성,상의,보통이에요,72,177
L,남성,상의,보통이에요,58,170
L,남성,상의,보통이에요,70,177
L,남성,상의,작아요,68,169
L,남성,상의,보통이에요,77,178
L,남성,상의,보통이에요,77,181
L,남성,상의,커요,82,187
L,남성,상의,커요,77,179
L,남성,상의,보통이에요,82,187
L,남성,상의,보통이에요,62,172
L,여성,상의,보통이에요,63,170
L,남성,상의,보통이에요,79,181
L,남성,상의,보통이에요,80,175
L,남성,상의,커요,75,171
L,남성,상의,보통이에요,65,174
L,여성,상의,보통이에요,51,161
L,남성,상의,커요,65,177
L,남성,상의,보통이에요,78,175
L,남성,상의,커요,84,180
L,남성,상의,보통이에요,83,188
L,여성,상의,보통이에요,53,170
L,남성,상의,작아요,69,184
L,남성,상의,보통이에요,68,170
L,남성,상의,보통이에요,69,177
L,남성,상의,보통이에요,64,176
L,남성,상의,보통이에요,68,174
L,남성,상의,보통이에요,68,170
L,남성,상의,보통이에요,74,180
L,여성,상의,커요,58,170
L,남성,상의,보통이에요,67,172
L,남성,상의,보통이에요,69,170
L,여성,상의,보통이에요,57,173
L,남성,상의,보통이에요,77,179
L,남성,상의,보통이에요,82,177
L,남성,상의,보통이에요,83,176
L,남성,상의,보통이에요,76,182
L,남성,상의,보통이에요,68,173
L,남성,상의,보통이에요,67,173
L,남성,상의,커요,74,177
L,남성,상의,보통이에요,70,183
L,남성,상의,커요,72,182
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,54,170
L,여성,상의,커요,48,160
L,남성,상의,커요,70,172
L,남성,상의,보통이에요,67,171
L,남성,상의,보통이에요,75,181
L,여성,상의,보통이에요,53,165
L,남성,상의,보통이에요,85,174
L,남성,상의,커요,74,174
L,남성,상의,보통이에요,75,170
L,남성,상의,보통이에요,85,174
L,남성,상의,보통이에요,66,175
L,남성,상의,보통이에요,67,171
L,남성,상의,보통이에요,80,180
L,남성,상의,보통이에요,65,178
L,남성,상의,보통이에요,80,178
L,남성,상의,보통이에요,66,173
L,남성,상의,보통이에요,80,178
L,남성,상의,보통이에요,68,171
L,남성,상의,보통이에요,75,175
L,남성,상의,보통이에요,80,180
L,남성,상의,보통이에요,80,178
L,남성,상의,보통이에요,68,171
L,여성,상의,보통이에요,46,158
L,남성,상의,커요,78,181
L,남성,상의,커요,78,181
L,남성,상의,보통이에요,70,170
L,여성,상의,커요,60,160
L,남성,상의,보통이에요,57,168
L,남성,상의,보통이에요,80,170
L,여성,상의,커요,60,160
L,남성,상의,보통이에요,83,178
L,여성,상의,커요,57,170
L,남성,상의,보통이에요,74,172
L,남성,상의,보통이에요,88,176
L,남성,상의,보통이에요,60,172
L,남성,상의,커요,78,178
L,남성,상의,보통이에요,65,186
L,남성,상의,보통이에요,72,174
L,남성,상의,커요,83,174
L,여성,상의,커요,58,160
L,남성,상의,보통이에요,69,172
L,남성,상의,보통이에요,77,172
L,남성,상의,커요,78,178
L,남성,상의,보통이에요,62,185
L,여성,상의,보통이에요,50,160
L,남성,상의,보통이에요,76,177
L,남성,상의,보통이에요,68,178
L,남성,상의,보통이에요,84,188
L,남성,상의,커요,68,172
L,남성,상의,보통이에요,80,174
L,남성,상의,보통이에요,73,175
L,남성,상의,보통이에요,85,180
L,여성,상의,보통이에요,55,168
L,남성,상의,커요,70,170
L,남성,상의,보통이에요,70,173
L,남성,상의,보통이에요,74,178
L,남성,상의,보통이에요,74,178
L,남성,상의,보통이에요,75,176
L,남성,상의,보통이에요,70,175
L,남성,상의,보통이에요,75,174
L,남성,상의,커요,84,177
L,남성,상의,보통이에요,64,172
L,남성,상의,보통이에요,68,173
L,남성,상의,보통이에요,73,179
L,남성,상의,보통이에요,85,185
L,여성,상의,보통이에요,69,168
L,남성,상의,보통이에요,57,170
L,남성,상의,커요,82,175
L,남성,상의,보통이에요,94,181
L,남성,상의,보통이에요,63,173
L,남성,상의,보통이에요,57,170
L,남성,상의,커요,82,175
L,남성,상의,보통이에요,77,170
L,여성,상의,커요,47,156
L,남성,상의,보통이에요,78,173
L,남성,상의,작아요,82,184
L,여성,상의,커요,55,160
L,남성,상의,커요,94,181
L,남성,상의,보통이에요,78,173
L,여성,상의,커요,50,153
L,여성,상의,커요,50,153
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,63,173
L,남성,상의,보통이에요,70,174
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,75,185
L,남성,상의,보통이에요,75,173
L,남성,상의,보통이에요,73,180
L,여성,상의,커요,50,155
L,여성,상의,커요,50,155
L,여성,상의,커요,53,165
L,남성,상의,보통이에요,72,175
L,남성,상의,보통이에요,77,177
L,남성,상의,보통이에요,65,166
L,남성,상의,보통이에요,68,173
L,남성,상의,커요,82,175
L,남성,상의,보통이에요,70,175
L,남성,상의,보통이에요,70,175
L,남성,상의,보통이에요,73,176
L,남성,상의,보통이에요,65,182
L,남성,상의,보통이에요,91,187
L,남성,상의,보통이에요,70,170
L,남성,상의,보통이에요,73,176
L,여성,상의,커요,56,167
L,여성,상의,커요,65,165
L,남성,상의,보통이에요,70,170
L,여성,상의,보통이에요,57,173
L,남성,상의,보통이에요,73,176
L,여성,상의,보통이에요,58,178
L,여성,상의,보통이에요,58,178
L,남성,상의,보통이에요,71,180
L,남성,상의,보통이에요,73,178
L,남성,상의,보통이에요,71,180
L,남성,상의,보통이에요,76,174
L,남성,상의,보통이에요,75,173
L,남성,상의,보통이에요,74,184
L,남성,상의,보통이에요,75,173
L,남성,상의,보통이에요,76,174
L,남성,상의,보통이에요,75,173
L,남성,상의,보통이에요,86,174
L,남성,상의,보통이에요,75,173
L,남성,상의,보통이에요,68,172
L,남성,상의,보통이에요,75,173
L,여성,상의,보통이에요,57,162
L,여성,상의,보통이에요,57,162
L,남성,상의,보통이에요,65,174
L,여성,상의,보통이에요,57,162
L,남성,상의,보통이에요,69,171
L,남성,상의,보통이에요,63,173
L,남성,상의,보통이에요,65,177
L,여성,상의,보통이에요,67,168
L,남성,상의,커요,76,174
L,남성,상의,보통이에요,75,182
L,남성,상의,보통이에요,68,178
L,여성,상의,보통이에요,58,167
L,남성,상의,보통이에요,75,182
L,남성,상의,보통이에요,75,182
L,남성,상의,보통이에요,74,178
L,남성,상의,보통이에요,63,175
L,남성,상의,보통이에요,80,176
L,여성,상의,보통이에요,59,168
L,남성,상의,보통이에요,72,181
L,남성,상의,보통이에요,57,168
L,남성,상의,보통이에요,79,184
L,남성,상의,보통이에요,71,167
L,남성,상의,보통이에요,73,172
L,남성,상의,보통이에요,78,177
L,여성,상의,커요,52,156
L,여성,상의,보통이에요,52,156
L,남성,상의,보통이에요,85,178
L,남성,상의,보통이에요,78,177
L,여성,상의,커요,52,170
L,남성,상의,커요,73,167
L,남성,상의,보통이에요,69,173
L,남성,상의,보통이에요,75,179
L,여성,상의,보통이에요,52,161
L,남성,상의,보통이에요,83,181
L,남성,상의,보통이에요,67,180
L,남성,상의,보통이에요,73,171
L,남성,상의,보통이에요,80,168
L,남성,상의,보통이에요,78,180
L,남성,상의,보통이에요,64,178
L,남성,상의,보통이에요,70,174
L,여성,상의,보통이에요,52,161
L,남성,상의,보통이에요,83,181
L,남성,상의,보통이에요,77,180
L,남성,상의,커요,75,173
L,남성,상의,보통이에요,72,181
L,여성,상의,커요,82,175
L,남성,상의,보통이에요,85,176
L,남성,상의,보통이에요,70,174
L,남성,상의,보통이에요,78,178
L,남성,상의,보통이에요,75,179
L,남성,상의,보통이에요,85,176
L,남성,상의,보통이에요,69,180
L,남성,상의,보통이에요,85,176
L,남성,상의,보통이에요,80,178
L,남성,상의,보통이에요,65,171
L,남성,상의,보통이에요,69,180
L,남성,상의,커요,67,173
L,남성,상의,보통이에요,85,176
L,남성,상의,보통이에요,85,176
L,남성,상의,보통이에요,71,167
L,남성,상의,보통이에요,72,182
L,남성,상의,보통이에요,85,176
L,남성,상의,보통이에요,70,176
L,남성,상의,보통이에요,85,176
L,남성,상의,보통이에요,65,183
L,남성,상의,보통이에요,75,175
L,남성,상의,보통이에요,68,176
L,남성,상의,보통이에요,65,173
L,남성,상의,보통이에요,74,175
L,남성,상의,커요,71,167
L,남성,상의,보통이에요,85,176
L,남성,상의,보통이에요,80,179
L,남성,상의,보통이에요,80,176
L,남성,상의,보통이에요,75,175
L,남성,상의,보통이에요,77,171
L,남성,상의,보통이에요,74,175
L,여성,상의,보통이에요,65,177
L,남성,상의,보통이에요,95,180
L,남성,상의,보통이에요,68,176
L,여성,상의,보통이에요,54,164
L,남성,상의,보통이에요,88,187
L,남성,상의,보통이에요,81,173
L,남성,상의,보통이에요,95,180
L,남성,상의,보통이에요,81,173
L,남성,상의,보통이에요,63,181
L,남성,상의,보통이에요,63,170
L,남성,상의,보통이에요,63,170
L,남성,상의,보통이에요,68,176
L,남성,상의,보통이에요,74,177
L,여성,상의,커요,55,167
L,여성,상의,커요,75,164
L,남성,상의,커요,70,174
L,남성,상의,보통이에요,81,174
L,남성,상의,보통이에요,65,170
L,남성,상의,보통이에요,67,169
L,남성,상의,보통이에요,70,174
L,여성,상의,보통이에요,65,170
L,여성,상의,커요,55,167
L,여성,상의,보통이에요,68,176
L,여성,상의,보통이에요,68,180
L,남성,상의,보통이에요,67,173
L,남성,상의,보통이에요,72,182
L,남성,상의,보통이에요,80,175
L,여성,상의,보통이에요,65,165
L,남성,상의,보통이에요,72,182
L,남성,상의,커요,77,172
L,남성,상의,보통이에요,52,172
L,남성,상의,보통이에요,60,165
L,남성,상의,보통이에요,70,170
L,남성,상의,보통이에요,65,176
L,남성,상의,보통이에요,80,180
L,남성,상의,보통이에요,70,170
L,여성,상의,보통이에요,47,162
L,여성,상의,커요,45,160
L,남성,상의,보통이에요,63,183
L,남성,상의,보통이에요,74,174
L,남성,상의,보통이에요,93,187
L,남성,상의,보통이에요,73,178
L,남성,상의,보통이에요,74,174
L,남성,상의,보통이에요,77,178
L,남성,상의,보통이에요,93,187
L,여성,상의,보통이에요,47,162
L,남성,상의,보통이에요,79,176
L,여성,상의,커요,45,160
L,남성,상의,보통이에요,80,179
L,남성,상의,보통이에요,74,174
L,여성,상의,커요,57,165
L,남성,상의,보통이에요,74,174
L,여성,상의,보통이에요,65,165
L,남성,상의,보통이에요,79,176
L,남성,상의,보통이에요,72,176
L,남성,상의,보통이에요,72,176
L,남성,상의,보통이에요,70,170
L,남성,상의,보통이에요,65,175
L,남성,상의,보통이에요,65,175
L,남성,상의,보통이에요,62,179
L,남성,상의,보통이에요,62,179
L,남성,상의,보통이에요,62,179
L,남성,상의,보통이에요,54,169
L,남성,상의,보통이에요,75,170
L,남성,상의,보통이에요,90,184
L,남성,상의,보통이에요,72,175
L,남성,상의,보통이에요,78,176
L,남성,상의,보통이에요,90,184
L,남성,상의,보통이에요,76,177
L,남성,상의,보통이에요,69,174
L,남성,상의,보통이에요,80,175
L,남성,상의,보통이에요,74,184
L,남성,상의,보통이에요,80,175
L,남성,상의,보통이에요,76,181
L,남성,상의,보통이에요,72,175
L,남성,상의,커요,75,170
L,남성,상의,커요,75,170
L,남성,상의,커요,72,175
L,남성,상의,커요,75,170
L,남성,상의,보통이에요,85,181
L,여성,상의,보통이에요,57,163
L,남성,상의,보통이에요,80,176
L,남성,상의,보통이에요,73,180
L,남성,상의,보통이에요,76,181
L,남성,상의,보통이에요,75,175
L,여성,상의,커요,50,165
L,남성,상의,보통이에요,81,180
L,남성,상의,커요,60,175
L,남성,상의,보통이에요,69,173
L,남성,상의,보통이에요,75,179
L,여성,상의,보통이에요,59,160
L,남성,상의,보통이에요,70,172
L,남성,상의,보통이에요,67,172
L,남성,상의,보통이에요,60,174
L,남성,상의,보통이에요,68,165
L,남성,상의,보통이에요,65,176
L,남성,상의,커요,70,174
L,남성,상의,보통이에요,70,175
L,남성,상의,보통이에요,74,168
L,남성,상의,보통이에요,72,182
L,남성,상의,보통이에요,72,182
L,남성,상의,커요,75,180
L,남성,상의,커요,75,180
L,남성,상의,커요,75,180
L,남성,상의,보통이에요,80,188
L,여성,상의,보통이에요,60,180
L,여성,상의,보통이에요,60,180
L,남성,상의,보통이에요,70,178
L,남성,상의,보통이에요,70,178
L,남성,상의,보통이에요,77,178
L,남성,상의,커요,70,168
L,남성,상의,커요,75,177
L,남성,상의,보통이에요,66,166
L,남성,상의,보통이에요,110,185
L,남성,상의,보통이에요,85,180
L,남성,상의,보통이에요,74,174
L,남성,상의,보통이에요,78,177
L,남성,상의,보통이에요,75,177
L,남성,상의,보통이에요,74,170
L,남성,상의,보통이에요,83,178
L,남성,상의,보통이에요,60,172
L,남성,상의,보통이에요,65,170
L,남성,상의,보통이에요,75,174
L,남성,상의,보통이에요,70,180
L,남성,상의,커요,73,178
L,남성,상의,보통이에요,70,170
L,여성,상의,보통이에요,68,170
L,여성,상의,보통이에요,75,178
L,남성,상의,커요,97,173
L,남성,상의,보통이에요,65,175
S,남성,상의,보통이에요,66,171
L,남성,상의,작아요,73,178
L,남성,상의,보통이에요,72,170
M,남성,상의,보통이에요,64,174
M,남성,상의,보통이에요,64,174
M,남성,상의,보통이에요,55,177
S,남성,상의,보통이에요,74,177
L,남성,상의,보통이에요,74,174
L,남성,상의,보통이에요,74,174
L,남성,상의,보통이에요,75,180
L,남성,상의,커요,65,183
L,남성,상의,보통이에요,72,184
L,남성,상의,커요,74,174
L,남성,상의,보통이에요,68,170
L,남성,상의,보통이에요,68,170
L,남성,상의,보통이에요,80,175
L,남성,상의,보통이에요,52,172
M,남성,상의,보통이에요,63,170
M,남성,상의,보통이에요,63,172
M,남성,상의,커요,58,168
M,남성,상의,보통이에요,55,170
M,남성,상의,보통이에요,68,174
M,남성,상의,보통이에요,65,172
L,남성,상의,보통이에요,77,174
L,남성,상의,보통이에요,67,171
M,남성,상의,보통이에요,62,168
M,남성,상의,보통이에요,71,170
M,여성,상의,보통이에요,63,164
M,여성,상의,보통이에요,51,163
M,남성,상의,보통이에요,62,171
M,여성,상의,보통이에요,56,164
M,남성,상의,보통이에요,60,160
M,남성,상의,보통이에요,68,171
M,남성,상의,보통이에요,60,160
M,여성,상의,커요,44,160
M,남성,상의,보통이에요,76,176
M,여성,상의,커요,54,153
M,남성,상의,보통이에요,68,171
M,여성,상의,보통이에요,52,164
M,여성,상의,보통이에요,51,162
M,여성,상의,커요,52,159
M,여성,상의,커요,80,160
M,남성,상의,보통이에요,68,178
M,여성,상의,보통이에요,55,160
M,남성,상의,보통이에요,49,171
M,남성,상의,보통이에요,65,174
M,남성,상의,보통이에요,60,175
M,남성,상의,보통이에요,68,177
M,여성,상의,커요,55,160
M,남성,상의,보통이에요,65,170
M,남성,상의,커요,60,163
M,여성,상의,커요,44,160
M,남성,상의,보통이에요,60,175
M,여성,상의,커요,45,160
M,남성,상의,보통이에요,65,170
M,남성,상의,보통이에요,58,180
M,남성,상의,커요,60,163
M,남성,상의,보통이에요,55,174
M,여성,상의,보통이에요,58,167
M,남성,상의,보통이에요,60,170
M,남성,상의,보통이에요,65,172
M,남성,상의,커요,71,174
M,남성,상의,보통이에요,65,170
M,여성,상의,보통이에요,62,165
M,여성,상의,커요,52,158
M,여성,상의,보통이에요,55,167
M,여성,상의,커요,54,168
M,여성,상의,보통이에요,80,181
M,남성,상의,보통이에요,68,179
M,남성,상의,보통이에요,69,175
M,남성,상의,보통이에요,55,170
M,남성,상의,보통이에요,70,170
M,남성,상의,보통이에요,68,179
M,남성,상의,커요,55,170
M,남성,상의,보통이에요,70,171
M,남성,상의,보통이에요,68,179
M,남성,상의,보통이에요,75,173
M,남성,상의,보통이에요,55,170
M,남성,상의,보통이에요,62,171
M,남성,상의,보통이에요,80,181
M,남성,상의,보통이에요,70,177
M,남성,상의,보통이에요,56,176
M,여성,상의,보통이에요,45,156
M,여성,상의,보통이에요,56,180
M,남성,상의,보통이에요,59,170
M,여성,상의,보통이에요,59,166
M,여성,상의,보통이에요,100,169
M,여성,상의,보통이에요,56,180
M,여성,상의,커요,54,152
M,여성,상의,보통이에요,58,174
M,여성,상의,보통이에요,100,169
M,여성,상의,보통이에요,55,163
M,남성,상의,보통이에요,64,175
M,남성,상의,보통이에요,72,173
M,여성,상의,보통이에요,55,160
M,여성,상의,보통이에요,74,167
M,남성,상의,보통이에요,68,170
M,남성,상의,보통이에요,63,170
M,남성,상의,보통이에요,68,170
M,남성,상의,커요,63,170
M,남성,상의,보통이에요,68,170
M,남성,상의,보통이에요,58,167
M,남성,상의,보통이에요,56,164
M,남성,상의,보통이에요,60,169
M,남성,상의,보통이에요,58,167
M,여성,상의,보통이에요,50,164
M,남성,상의,보통이에요,83,172
M,남성,상의,보통이에요,60,160
M,여성,상의,보통이에요,52,164
M,남성,상의,보통이에요,68,168
M,여성,상의,보통이에요,44,162
M,남성,상의,보통이에요,74,181
M,남성,상의,보통이에요,65,170
M,여성,상의,작아요,55,165
M,여성,상의,커요,55,165
M,남성,상의,보통이에요,86,185
M,남성,상의,보통이에요,75,178
M,남성,상의,보통이에요,68,174
M,여성,상의,커요,49,160
M,남성,상의,보통이에요,75,178
M,남성,상의,보통이에요,66,172
M,남성,상의,보통이에요,65,173
M,남성,상의,보통이에요,65,172
M,남성,상의,보통이에요,55,168
M,남성,상의,보통이에요,78,172
M,남성,상의,보통이에요,75,178
M,남성,상의,보통이에요,75,173
M,남성,상의,보통이에요,72,174
M,남성,상의,보통이에요,63,171
M,여성,상의,커요,54,163
M,여성,상의,보통이에요,55,168
M,여성,상의,보통이에요,57,165
M,남성,상의,보통이에요,60,168
M,남성,상의,보통이에요,65,174
M,남성,상의,보통이에요,63,174
M,남성,상의,보통이에요,82,180
M,남성,상의,보통이에요,72,174
M,남성,상의,보통이에요,65,170
M,여성,상의,커요,49,157
M,남성,상의,보통이에요,63,174
M,여성,상의,보통이에요,49,162
M,여성,상의,보통이에요,66,170
M,남성,상의,보통이에요,73,173
M,남성,상의,보통이에요,65,170
M,여성,상의,커요,53,165
M,여성,상의,보통이에요,56,170
M,남성,상의,보통이에요,69,174
M,남성,상의,보통이에요,71,177
M,여성,상의,보통이에요,66,169
M,남성,상의,보통이에요,69,176
M,남성,상의,보통이에요,65,163
M,여성,상의,보통이에요,60,160
M,여성,상의,커요,46,160
M,여성,상의,보통이에요,56,170
M,여성,상의,커요,56,165
M,여성,상의,보통이에요,69,165
M,여성,상의,커요,54,165
M,남성,상의,보통이에요,73,178
M,남성,상의,보통이에요,75,185
M,남성,상의,보통이에요,61,170
M,남성,상의,보통이에요,73,178
M,남성,상의,보통이에요,63,165
M,남성,상의,보통이에요,75,185
M,여성,상의,커요,57,167
M,남성,상의,보통이에요,85,178
M,여성,상의,보통이에요,53,160
M,여성,상의,커요,57,167
M,여성,상의,보통이에요,47,166
M,여성,상의,보통이에요,58,165
M,여성,상의,보통이에요,47,166
M,남성,상의,보통이에요,78,176
M,남성,상의,보통이에요,78,168
M,여성,상의,커요,57,164
M,여성,상의,보통이에요,58,165
M,여성,상의,보통이에요,47,165
M,남성,상의,보통이에요,60,175
M,남성,상의,보통이에요,78,176
M,남성,상의,보통이에요,63,170
M,여성,상의,보통이에요,58,165
M,남성,상의,보통이에요,48,167
M,여성,상의,보통이에요,48,165
M,여성,상의,보통이에요,58,165
M,여성,상의,보통이에요,58,165
M,여성,상의,보통이에요,63,173
M,여성,상의,보통이에요,56,165
M,남성,상의,커요,69,170
M,남성,상의,보통이에요,60,174
M,남성,상의,보통이에요,63,174
M,여성,상의,보통이에요,47,157
M,남성,상의,보통이에요,63,174
M,여성,상의,보통이에요,63,164
M,남성,상의,보통이에요,65,175
M,여성,상의,보통이에요,63,164
M,남성,상의,보통이에요,70,177
M,남성,상의,보통이에요,65,171
M,여성,상의,커요,46,160
M,남성,상의,보통이에요,55,177
M,남성,상의,보통이에요,67,168
M,여성,상의,보통이에요,55,168
M,여성,상의,보통이에요,55,163
M,남성,상의,보통이에요,64,169
M,여성,상의,보통이에요,45,155
M,여성,상의,보통이에요,58,175
M,남성,상의,보통이에요,65,170
M,남성,상의,보통이에요,76,181
M,여성,상의,보통이에요,55,172
M,남성,상의,보통이에요,68,180
M,여성,상의,보통이에요,50,162
M,여성,상의,보통이에요,50,162
M,여성,상의,보통이에요,58,158
M,남성,상의,보통이에요,58,182
M,남성,상의,보통이에요,58,182
M,남성,상의,보통이에요,74,170
M,남성,상의,보통이에요,58,162
M,여성,상의,보통이에요,53,165
M,남성,상의,보통이에요,64,168
M,여성,상의,보통이에요,50,163
M,여성,상의,작아요,40,158
M,여성,상의,작아요,40,158
M,여성,상의,보통이에요,49,160
M,남성,상의,보통이에요,63,170
M,남성,상의,커요,55,183
M,여성,상의,보통이에요,58,168
M,남성,상의,보통이에요,60,168
M,남성,상의,보통이에요,66,171
M,남성,상의,보통이에요,68,168
M,남성,상의,보통이에요,69,173
M,남성,상의,보통이에요,55,164
M,남성,상의,보통이에요,63,169
M,남성,상의,보통이에요,63,169
M,남성,상의,보통이에요,75,179
M,남성,상의,보통이에요,70,170
M,여성,상의,보통이에요,48,166
M,남성,상의,보통이에요,68,172
M,남성,상의,보통이에요,83,178
M,남성,상의,보통이에요,50,165
M,남성,상의,보통이에요,70,175
M,여성,상의,보통이에요,55,166
M,남성,상의,보통이에요,90,170
M,남성,상의,보통이에요,51,165
M,여성,상의,보통이에요,45,162
M,여성,상의,보통이에요,100,164
M,남성,상의,보통이에요,70,175
M,남성,상의,보통이에요,73,175
M,남성,상의,커요,65,165
M,여성,상의,커요,48,163
M,여성,상의,보통이에요,68,175
M,남성,상의,커요,66,176
M,남성,상의,보통이에요,60,171
M,여성,상의,보통이에요,58,165
M,남성,상의,보통이에요,77,174
M,여성,상의,보통이에요,54,156
M,남성,상의,보통이에요,60,166
M,여성,상의,보통이에요,55,163
M,남성,상의,보통이에요,74,171
M,남성,상의,보통이에요,70,170
M,여성,상의,보통이에요,53,162
M,남성,상의,보통이에요,77,173
M,여성,상의,보통이에요,50,160
M,남성,상의,보통이에요,77,173
M,남성,상의,보통이에요,77,173
M,남성,상의,보통이에요,66,171
M,남성,상의,커요,65,167
M,남성,상의,보통이에요,66,170
M,남성,상의,보통이에요,67,163
M,남성,상의,보통이에요,68,174
M,남성,상의,보통이에요,60,170
M,남성,상의,보통이에요,65,167
M,남성,상의,보통이에요,73,173
M,남성,상의,보통이에요,73,173
M,남성,상의,보통이에요,73,173
M,남성,상의,보통이에요,73,179
M,남성,상의,보통이에요,60,167
M,남성,상의,보통이에요,67,174
M,남성,상의,보통이에요,64,176
M,여성,상의,커요,60,156
M,남성,상의,보통이에요,58,172
M,여성,상의,보통이에요,60,163
M,남성,상의,커요,70,172
M,남성,상의,보통이에요,67,170
M,여성,상의,보통이에요,49,156
M,남성,상의,보통이에요,73,171
M,남성,상의,커요,66,170
M,남성,상의,보통이에요,75,173
M,여성,상의,보통이에요,55,163
M,남성,상의,보통이에요,67,169
M,여성,상의,보통이에요,100,100
M,남성,상의,보통이에요,60,165
M,남성,상의,보통이에요,75,179
M,남성,상의,보통이에요,63,172
M,여성,상의,커요,53,160
M,여성,상의,커요,60,167
M,여성,상의,보통이에요,45,155
M,남성,상의,보통이에요,72,167
M,남성,상의,보통이에요,78,178
M,남성,상의,보통이에요,80,177
M,남성,상의,보통이에요,50,165
M,남성,상의,보통이에요,60,168
M,여성,상의,보통이에요,55,158
M,남성,상의,보통이에요,60,168
M,남성,상의,보통이에요,58,170
M,남성,상의,보통이에요,63,173
M,남성,상의,보통이에요,100,100
M,남성,상의,보통이에요,100,100
M,남성,상의,보통이에요,54,157
M,남성,상의,보통이에요,67,171
M,남성,상의,보통이에요,71,174
M,남성,상의,보통이에요,67,171
M,남성,상의,보통이에요,58,172
M,여성,상의,보통이에요,64,165
M,남성,상의,보통이에요,70,170
M,여성,상의,보통이에요,54,159
M,남성,상의,보통이에요,74,174
M,남성,상의,보통이에요,66,173
M,남성,상의,보통이에요,53,163
M,남성,상의,보통이에요,66,168
M,남성,상의,보통이에요,55,173
M,남성,상의,보통이에요,74,170
M,남성,상의,보통이에요,73,175
M,남성,상의,커요,75,175
M,남성,상의,보통이에요,65,172
M,여성,상의,보통이에요,85,174
M,여성,상의,보통이에요,52,168
M,남성,상의,보통이에요,66,177
M,여성,상의,보통이에요,57,173
